Title,Author,Type,Current Tags,Top Tier (Weight 3)?,Status
10 Virtues of Outstanding Leaders,"Gini, Green",book,Leadership,Yes,published
3 Ways Our Brains Undermine Our Ability to Be a Good Leader,"Higgins, E. T.",book,"Leadership, Learning",,published
6 Low‑Lift Ways to Coach Employees,HBR Editors,book,Coaching,,published
A Better Way to Make Strategic Decisions,HBR Editors,book,Decision Making,,published
A More Efficient Approach to Coaching,HBR Editors,book,Coaching,,published
A Practical Guide to Needs Assessment 3rd Edition,Wiley,book,"Human Resources, Organizational Development",,published
About Time,Frank,book,Organizational Development,,published
All Systems Go,Fullan,book,Organizational Development,,published
All You Have to do is Ask,Baker,book,"Influence, Selling",,published
Anti-Fragile,Taleb,book,Organizational Development,,published
Are Collaboration Tools Overwhelming Your Team?,"Bernstein, E.",book,"Communication, Teams",,published
"Armstrong’s Handbook of Performance Management (7th ed., 2022)",Michael Armstrong,book,"Human Resources, Organizational Development",,published
B2B Selling Is in Trouble: Deep Sales Is the Answer,HBR Editors,book,Selling,,published
Bedtime Stories for Managers,Mintzberg,book,"Management, Storytelling",,published
Behave,Sapolsky,book,Management,,published
Being Well Connected Isn’t Always Good for Your Career,"Uzzi, B.",book,"Human Resources, Performance Management",,published
Belonging Rules,"Deutser, B.",book,"Culture, Organizational Development",,published
Best Team Ever: The Surprising Science of High-Performing Teams,David Burkus,book,Teaming,,published
"Better, Simpler Strategy","Oberholzer-Gee, F.",book,"Decision Making, Strategy",,published
Blindspot,"Banah, Greenwald",book,Decision Making,,published
Bounce,Syed,book,Learning,,published
Breakthrough Coaching,Reynolds,book,Coaching,,published
Brilliant Blunders,Livio,book,Learning,,published
Bringing Science to the Art of Coaching,Zenger & Stinnett,book,Coaching,,published
Building a Storybrand,Miller,book,"Selling, Storytelling",Yes,published
Case Studies in Business Ethics,Al Gini,book,Learning,,published
Change,"Kotter, J., Akhtar, V., & Gupta, G.",book,Change Management,,published
Change Anything,Patterson,book,Managing Change,Yes,published
Change Forces with a Vengeance,Fullan,book,Managing Change,,published
Change Forces with a Vengence,Fullan,book,NO TAG - needs assignment,,published
"Change Forces, The Sequel",Fullan,book,Managing Change,,published
Changing Minds,Gardner,book,"Influence, Managing Change",,published
Chatter,Kross,book,Communication,,published
Clearer Closer Better,Balcetis,book,Learning,,published
"Coach the Person, Not the Problem",Reynolds,book,Coaching,,published
Coaching for Performance,"Whitmore, Gaskell",book,"Coaching, Human Resources",,published
Coaching with the Brain in Mind,Rock,book,"Coaching, Communication",Yes,published
CoActive Coaching,Karen Kimsey-House,book,Coaching,,published
Collaborative Learning,Hopkins,book,"Learning, Teaming",,published
Communicating Change,Larson and Larson,book,"Communication, Managing Change",Yes,published
Complexity and Creativity in Organizations,Stacey,book,"Creativity, Innovation, Organizational Development",,published
Connect,"Braqdford, Robin",book,"Influence, Selling",,published
Connect,"Bradford, Robin",book,Selling,,published
Corporate Culture and Leadership,Schein,book,Organizational Development,,published
Corporate Cultures: The Rites and Rituals of Corporate Life,Deal and Kennedy,book,Organizational Development,,published
Creative Construction,"Pisano, G.",book,Innovation,,published
Creative Intelligence,Nussbaum,book,Innovation,,published
"Creativity, Inc",Catmull,book,Innovation,,published
Culture Renovation,"Oakes, K.",book,"Culture, Organizational Development",,published
"Curriculum: Perspective, Paradigm, and Possibility",William H. Schubert,book,Learning,,published
Decision Making in Turbulent Times,HBR Editors,book,Decision Making,,published
Decisive,Heath,book,Decision Making,Yes,published
Defensive Behaviors & Psychological Safety,HBR Editors,book,"Culture, Learning, Teams",,published
Democracy and Education,John Dewey,book,Learning,,published
Determined,Sapolsky,book,Management,,published
Digital Body Language,"Dhawan, E.",book,Communication,,published
Drive: The Surprising Truth About What Motivates Us,Daniel Pink,book,Management,Yes,published
Education for Critical Consciousness,Paulo Freire,book,Learning,,published
Executive Teams,"David A. Nadler,",book,Teams,Yes,published
Experience and Education,John Dewey,book,Learning,,published
Extreme Ownership,"Willink, Babin",book,Leadership,,published
Face Value,Todorov,book,Communication,,published
Fanatical Prospecting,Blount,book,Selling,,published
Farsighted,"Johnson, S.",book,Decision Making,,published
Faster,Gleick,book,Organizational Development,,published
First Break all the Rules,Buckingham & Coffman,book,"Management, Organizational Development",Yes,published
Fix Your Culture by Starting With Habits,HBR Editors,book,"Change Management, Culture",,published
Flexible Work Can Dampen Motivation,"Choudhury, P.",book,"Management, Motivation",,published
Flow,Csikszentmihalyi,book,Management,,published
Gap Selling,Keenan,book,Selling,,published
Gender and Conversational Interraction,Tannen,book,Communication,,published
Get it Done,Fishbach,book,Human Resources,,published
Getting Started in Consulting,Weiss,book,Organizational Development,,published
